;nazwa stacji;rok;miesiac;dzien;temp,;wilgotnosc wzglêdna;prêdkosc wiatru;œrednie dobowe zachmurzenie ogolne
252200150;WARSZAWA-BIELANY;2005;1;1;4,7;92,3;2,7;8
252200150;WARSZAWA-BIELANY;2005;1;2;3,2;83,8;3;5,3
252200150;WARSZAWA-BIELANY;2005;1;3;4;70,8;3,7;6,7
252200150;WARSZAWA-BIELANY;2005;1;4;4,7;95,5;4,3;8
252200150;WARSZAWA-BIELANY;2005;1;5;5,3;80;4;8
252200150;WARSZAWA-BIELANY;2005;1;6;4;87,8;3;8
252200150;WARSZAWA-BIELANY;2005;1;7;5,2;79;4,3;8
252200150;WARSZAWA-BIELANY;2005;1;8;9,7;63,5;3,7;5,3
252200150;WARSZAWA-BIELANY;2005;1;9;6,3;60,8;5,7;2,7
252200150;WARSZAWA-BIELANY;2005;1;10;7,6;67,5;3,7;6
252200150;WARSZAWA-BIELANY;2005;1;11;7,3;81;3;8
252200150;WARSZAWA-BIELANY;2005;1;12;7,7;80;3;7
252200150;WARSZAWA-BIELANY;2005;1;13;6;81,5;2,7;7,3
252200150;WARSZAWA-BIELANY;2005;1;14;3,5;81,8;3,7;8
252200150;WARSZAWA-BIELANY;2005;1;15;1,3;86,5;2;8
252200150;WARSZAWA-BIELANY;2005;1;16;-1,3;88,3;1,3;5,3
252200150;WARSZAWA-BIELANY;2005;1;17;-1,2;92;2;8
252200150;WARSZAWA-BIELANY;2005;1;18;-0,2;92;2,7;3,3
252200150;WARSZAWA-BIELANY;2005;1;19;-2,4;89,3;2;8
252200150;WARSZAWA-BIELANY;2005;1;20;1,2;93,5;3,3;7
252200150;WARSZAWA-BIELANY;2005;1;21;2,6;89,3;3,7;8
252200150;WARSZAWA-BIELANY;2005;1;22;0,2;84;3;8
252200150;WARSZAWA-BIELANY;2005;1;23;-1,5;94,3;2,7;6,3
252200150;WARSZAWA-BIELANY;2005;1;24;-2,6;91,8;1,3;8
252200150;WARSZAWA-BIELANY;2005;1;25;-2,2;84,8;3,3;8
252200150;WARSZAWA-BIELANY;2005;1;26;-4,2;85,8;4,7;8
252200150;WARSZAWA-BIELANY;2005;1;27;-5,3;86;2,3;8
252200150;WARSZAWA-BIELANY;2005;1;28;-6,4;79;2;8
252200150;WARSZAWA-BIELANY;2005;1;29;-5,2;85,8;1,7;8
252200150;WARSZAWA-BIELANY;2005;1;30;-4,9;85,8;2,7;8
252200150;WARSZAWA-BIELANY;2005;1;31;-1,3;90;2,3;7
252200150;WARSZAWA-BIELANY;2005;2;1;-0,1;95,5;3;8
252200150;WARSZAWA-BIELANY;2005;2;2;0,4;92;2,3;8
252200150;WARSZAWA-BIELANY;2005;2;3;-0,1;92;1,3;8
252200150;WARSZAWA-BIELANY;2005;2;4;-3,4;77,8;1,7;8
252200150;WARSZAWA-BIELANY;2005;2;5;-6,9;82,5;2,3;4
252200150;WARSZAWA-BIELANY;2005;2;6;-8,9;72,5;2,7;3
252200150;WARSZAWA-BIELANY;2005;2;7;-8,7;75,5;2,3;4
252200150;WARSZAWA-BIELANY;2005;2;8;-8,9;76,8;2;2
252200150;WARSZAWA-BIELANY;2005;2;9;-7,8;81;1;1
252200150;WARSZAWA-BIELANY;2005;2;10;-3,9;78,8;2;3,7
252200150;WARSZAWA-BIELANY;2005;2;11;1,8;91,8;2,7;6,3
252200150;WARSZAWA-BIELANY;2005;2;12;-0,5;92,5;3,7;6,3
252200150;WARSZAWA-BIELANY;2005;2;13;2,9;74,3;3;5
252200150;WARSZAWA-BIELANY;2005;2;14;1;80,3;2;8
252200150;WARSZAWA-BIELANY;2005;2;15;0;86,5;2;8
252200150;WARSZAWA-BIELANY;2005;2;16;0,3;92;2;8
252200150;WARSZAWA-BIELANY;2005;2;17;0,3;97,5;1,3;8
252200150;WARSZAWA-BIELANY;2005;2;18;-0,4;93;2;7,7
252200150;WARSZAWA-BIELANY;2005;2;19;-3;89,5;1;8
252200150;WARSZAWA-BIELANY;2005;2;20;-1,6;93,8;0,3;8
252200150;WARSZAWA-BIELANY;2005;2;21;-2,5;83;2;8
252200150;WARSZAWA-BIELANY;2005;2;22;-1,4;88,3;3,3;8
252200150;WARSZAWA-BIELANY;2005;2;23;2,4;92,5;5;8
252200150;WARSZAWA-BIELANY;2005;2;24;0,9;93;2,7;8
252200150;WARSZAWA-BIELANY;2005;2;25;-0,4;74,3;1,7;8
252200150;WARSZAWA-BIELANY;2005;2;26;-3,2;88,8;2,3;8
252200150;WARSZAWA-BIELANY;2005;2;27;-9,3;81,8;2;2,3
252200150;WARSZAWA-BIELANY;2005;2;28;-9,4;73,3;1,7;4,3
252200150;WARSZAWA-BIELANY;2005;3;1;-5,5;85,3;2,7;8
252200150;WARSZAWA-BIELANY;2005;3;2;-4,3;85,3;1,3;6
252200150;WARSZAWA-BIELANY;2005;3;3;-4,8;84,3;1,3;6,3
252200150;WARSZAWA-BIELANY;2005;3;4;-4,9;87;1;5,3
252200150;WARSZAWA-BIELANY;2005;3;5;-3,3;92,8;1;8
252200150;WARSZAWA-BIELANY;2005;3;6;-4,2;92,3;3,3;8
252200150;WARSZAWA-BIELANY;2005;3;7;-2,9;89,3;3;8
252200150;WARSZAWA-BIELANY;2005;3;8;-1;92,3;3,3;8
252200150;WARSZAWA-BIELANY;2005;3;9;-3,1;89,5;2,7;6,7
252200150;WARSZAWA-BIELANY;2005;3;10;-6,9;74;2,7;5,7
252200150;WARSZAWA-BIELANY;2005;3;11;-2,7;89,5;4;8
252200150;WARSZAWA-BIELANY;2005;3;12;-0,2;95;4;8
252200150;WARSZAWA-BIELANY;2005;3;13;-1,9;93,3;2,7;5,3
252200150;WARSZAWA-BIELANY;2005;3;14;-0,1;93;2,7;6,3
252200150;WARSZAWA-BIELANY;2005;3;15;2;83;3;6
252200150;WARSZAWA-BIELANY;2005;3;16;3,5;84,5;2,7;8
252200150;WARSZAWA-BIELANY;2005;3;17;8,4;78,8;3,7;8
252200150;WARSZAWA-BIELANY;2005;3;18;4,9;93;3,3;7,3
252200150;WARSZAWA-BIELANY;2005;3;19;-1,8;84,8;3,7;3
252200150;WARSZAWA-BIELANY;2005;3;20;-2,4;82,8;3;4,7
252200150;WARSZAWA-BIELANY;2005;3;21;-1,9;90;2;6,3
252200150;WARSZAWA-BIELANY;2005;3;22;0,3;90,5;2;1,3
252200150;WARSZAWA-BIELANY;2005;3;23;4,6;83;1;3
252200150;WARSZAWA-BIELANY;2005;3;24;5,8;74,5;2;6,3
252200150;WARSZAWA-BIELANY;2005;3;25;7,1;93,3;1,3;7,3
252200150;WARSZAWA-BIELANY;2005;3;26;5,2;94;1,7;6,7
252200150;WARSZAWA-BIELANY;2005;3;27;3,5;85;2,7;8
252200150;WARSZAWA-BIELANY;2005;3;28;3,1;69,3;2,3;1,3
252200150;WARSZAWA-BIELANY;2005;3;29;3,6;58,8;2,3;0
252200150;WARSZAWA-BIELANY;2005;3;30;1,5;62,5;2;2,3
252200150;WARSZAWA-BIELANY;2005;3;31;2,4;58,8;2;3,7
252200150;WARSZAWA-BIELANY;2005;4;1;3,5;62,5;1;1,3
252200150;WARSZAWA-BIELANY;2005;4;2;5,9;54,5;1,3;1
252200150;WARSZAWA-BIELANY;2005;4;3;8,1;66,5;0,7;4
252200150;WARSZAWA-BIELANY;2005;4;4;9,1;62,5;1;1
252200150;WARSZAWA-BIELANY;2005;4;5;13,7;32;1,7;0,7
252200150;WARSZAWA-BIELANY;2005;4;6;10,4;58,8;2,3;8
252200150;WARSZAWA-BIELANY;2005;4;7;13,4;51;2,7;8
252200150;WARSZAWA-BIELANY;2005;4;8;15,2;46;1;8
252200150;WARSZAWA-BIELANY;2005;4;9;9,8;89,3;2;8
252200150;WARSZAWA-BIELANY;2005;4;10;6,1;83,3;2;8
252200150;WARSZAWA-BIELANY;2005;4;11;7,9;64,3;2;7
252200150;WARSZAWA-BIELANY;2005;4;12;10,9;67,3;1;7
252200150;WARSZAWA-BIELANY;2005;4;13;12,3;60;1,7;8
252200150;WARSZAWA-BIELANY;2005;4;14;13,4;64;1;5
252200150;WARSZAWA-BIELANY;2005;4;15;13,2;80,8;0,7;8
252200150;WARSZAWA-BIELANY;2005;4;16;13,4;83,3;1;8
252200150;WARSZAWA-BIELANY;2005;4;17;13,5;71;1,7;6,7
252200150;WARSZAWA-BIELANY;2005;4;18;12,6;76,3;2,3;7,3
252200150;WARSZAWA-BIELANY;2005;4;19;12,1;67,5;2,7;7,3
252200150;WARSZAWA-BIELANY;2005;4;20;5,1;50,8;2,7;1,3
252200150;WARSZAWA-BIELANY;2005;4;21;2,7;57,5;1,7;4,7
252200150;WARSZAWA-BIELANY;2005;4;22;5;52,3;2,3;7
252200150;WARSZAWA-BIELANY;2005;4;23;4,7;61,3;1,3;6
252200150;WARSZAWA-BIELANY;2005;4;24;5,1;54,8;1,3;2
252200150;WARSZAWA-BIELANY;2005;4;25;8;52;3;1
252200150;WARSZAWA-BIELANY;2005;4;26;9,7;67,5;3,3;7
252200150;WARSZAWA-BIELANY;2005;4;27;9,9;66,5;1;4,7
252200150;WARSZAWA-BIELANY;2005;4;28;9,7;91,8;1,7;8
252200150;WARSZAWA-BIELANY;2005;4;29;10,2;62,5;1,3;3
252200150;WARSZAWA-BIELANY;2005;4;30;10,8;52,3;1;0,7
252200150;WARSZAWA-BIELANY;2005;5;1;15,2;47,3;1,7;5,7
252200150;WARSZAWA-BIELANY;2005;5;2;15,6;62;1,3;1
252200150;WARSZAWA-BIELANY;2005;5;3;17,6;59,5;1,3;5
252200150;WARSZAWA-BIELANY;2005;5;4;16,3;94,3;1;8
252200150;WARSZAWA-BIELANY;2005;5;5;11,6;89,5;3;8
252200150;WARSZAWA-BIELANY;2005;5;6;9,8;80,5;2,7;8
252200150;WARSZAWA-BIELANY;2005;5;7;9,8;71;1,3;5,7
252200150;WARSZAWA-BIELANY;2005;5;8;7,3;82,8;1,7;8
252200150;WARSZAWA-BIELANY;2005;5;9;7,8;77;1,7;8
252200150;WARSZAWA-BIELANY;2005;5;10;8,4;68,5;2,3;4,7
252200150;WARSZAWA-BIELANY;2005;5;11;9,7;65,5;1,7;4,3
252200150;WARSZAWA-BIELANY;2005;5;12;9;75,8;1,3;7,7
252200150;WARSZAWA-BIELANY;2005;5;13;10,5;60,8;3;8
252200150;WARSZAWA-BIELANY;2005;5;14;11,8;47;1,7;4,3
252200150;WARSZAWA-BIELANY;2005;5;15;15,3;63,5;1,3;6,7
252200150;WARSZAWA-BIELANY;2005;5;16;12,8;68,8;2;6,3
252200150;WARSZAWA-BIELANY;2005;5;17;10,7;94;2,3;8
252200150;WARSZAWA-BIELANY;2005;5;18;9,5;83,5;1;8
252200150;WARSZAWA-BIELANY;2005;5;19;10;66;1,3;7
252200150;WARSZAWA-BIELANY;2005;5;20;11,8;54,8;0,7;1
252200150;WARSZAWA-BIELANY;2005;5;21;15,1;57,5;1;2
252200150;WARSZAWA-BIELANY;2005;5;22;17,6;59,3;1,7;2,3
252200150;WARSZAWA-BIELANY;2005;5;23;19,1;69;1,7;3
252200150;WARSZAWA-BIELANY;2005;5;24;17,9;82,3;1,7;6,3
252200150;WARSZAWA-BIELANY;2005;5;25;15,8;58;1;3,3
252200150;WARSZAWA-BIELANY;2005;5;26;18,8;51,3;0,7;2
252200150;WARSZAWA-BIELANY;2005;5;27;21,9;54,3;1,7;1,3
252200150;WARSZAWA-BIELANY;2005;5;28;24;53;0,7;1
252200150;WARSZAWA-BIELANY;2005;5;29;26,3;49,8;1,7;2,3
252200150;WARSZAWA-BIELANY;2005;5;30;24,4;69,5;1,3;1,7
252200150;WARSZAWA-BIELANY;2005;5;31;18,9;72,3;2,3;7,3
252200150;WARSZAWA-BIELANY;2005;6;1;11,9;75,5;2,3;6,7
252200150;WARSZAWA-BIELANY;2005;6;2;12,3;69;1,3;7,3
252200150;WARSZAWA-BIELANY;2005;6;3;15,5;78;0,7;7
252200150;WARSZAWA-BIELANY;2005;6;4;18,7;64,8;2;5,7
252200150;WARSZAWA-BIELANY;2005;6;5;16,6;70,8;2,3;3
