Kod stacji;Nazwa_stacji;Rok;Miesiąc;Dzień;zachmurzenie;prędkosc_wiatru;srednia_temp;cisnienie_pary_wodnej;wilgotnosc_wzgl;cisnienie_na_poziomie_stacji;cisnienie_na_poziomie_morza;suma_opadu_dzien;suma_opadu_noc
351160424;WROCŁAW;1966;1;1;7,8;5,3;4;7,3;89;988,2;1003,5;1,2;2,2
351160424;WROCŁAW;1966;1;2;6;6,5;5,9;7,1;77;984,8;999,9;0;0,5
351160424;WROCŁAW;1966;1;3;7,4;7;4,8;6,9;79,4;981,9;997;3,1;0,5
351160424;WROCŁAW;1966;1;4;7,8;5;-0,6;5,3;88,6;997,5;1013,1;1,7;0,1
351160424;WROCŁAW;1966;1;5;4;4,1;-6,1;3,2;81,8;1017;1033,2;0;0
351160424;WROCŁAW;1966;1;6;6,9;2,9;-6,1;3,4;86,3;1024,3;1040,7;0;0
351160424;WROCŁAW;1966;1;7;6,3;3;-4,4;3,5;79,5;1017,4;1033,5;0;0
351160424;WROCŁAW;1966;1;8;5,6;1,5;-7,3;3,2;91,4;1013,8;1030;0,2;0
351160424;WROCŁAW;1966;1;9;7;2,4;-7;3,3;90,5;1009,1;1025,3;1,4;0,2
351160424;WROCŁAW;1966;1;10;7;0,9;-8,8;3;95,1;1010,5;1026,7;0,3;0
351160424;WROCŁAW;1966;1;11;8;0;-7,9;3,2;93,5;1006,7;1022,9;0,3;0
351160424;WROCŁAW;1966;1;12;8;2,9;-7,3;3,1;86,6;1004,9;1021;0,1;0,3
351160424;WROCŁAW;1966;1;13;8;3,5;-6,3;3,5;91,5;1004,7;1020,7;0,2;0,7
351160424;WROCŁAW;1966;1;14;8;4,9;-4,1;4,2;92,1;999,6;1015,4;0,9;0,2
351160424;WROCŁAW;1966;1;15;6,1;4,3;-7,6;3,1;87,9;1002;1018;0;0
351160424;WROCŁAW;1966;1;16;6,3;0,8;-10,7;2,5;89,8;1003,4;1019,6;0;0
351160424;WROCŁAW;1966;1;17;6,9;1,5;-9,5;2,7;92,5;1000,3;1016,5;0,3;0,2
351160424;WROCŁAW;1966;1;18;2,6;2;-14,3;1,8;88;1001,7;1018,2;0;0
351160424;WROCŁAW;1966;1;19;3,9;0;-15;1,8;88;1000,3;1016,8;0;0,4
351160424;WROCŁAW;1966;1;20;7;1,9;-10,1;2,6;91;996,6;1012,8;0,5;0
351160424;WROCŁAW;1966;1;21;7,4;2,9;-6,4;3,3;87,9;993,7;1009,6;0;0
351160424;WROCŁAW;1966;1;22;3;3;-7,5;3,1;88,1;988,7;1004,6;0;0
351160424;WROCŁAW;1966;1;23;5,8;1;-4,2;4,2;91;981,6;997,1;0;0
351160424;WROCŁAW;1966;1;24;8;2,8;-1,3;5,1;92,5;995,7;1011,3;0;0,2
351160424;WROCŁAW;1966;1;25;6,9;1,9;-2;5;93,8;1005,8;1021,5;0;0
351160424;WROCŁAW;1966;1;26;7;6;-4,7;3,5;81,5;1003,4;1019,3;0;0
351160424;WROCŁAW;1966;1;27;5,1;5;-7,1;3,1;84,9;1002,7;1018,7;0;0
351160424;WROCŁAW;1966;1;28;7;1,9;-8,5;3,2;94,8;1004,2;1020,4;0,4;0,3
351160424;WROCŁAW;1966;1;29;4,8;4,1;0,8;6,1;94,5;1004,5;1020,1;0;0
351160424;WROCŁAW;1966;1;30;5;3,4;2;5,9;84;1000,1;1015,6;0;0
351160424;WROCŁAW;1966;1;31;7,8;2,9;2,3;6,7;93,8;1000,2;1015,6;2,3;1,3
351160424;WROCŁAW;1966;2;1;4,9;3,8;3,3;7,3;93,9;1001,7;1017,2;0,2;0
351160424;WROCŁAW;1966;2;2;6,8;1,6;-0,9;5,7;99,8;1006,6;1022,3;0;0
351160424;WROCŁAW;1966;2;3;8;5,5;1,1;6,3;95;1000,7;1016,2;6,6;0,2
351160424;WROCŁAW;1966;2;4;8;3,6;-0,9;5,4;93,1;1006,3;1022;0;0
351160424;WROCŁAW;1966;2;5;7,8;5;4,1;7,1;86,8;1000;1015,4;0;5,9
351160424;WROCŁAW;1966;2;6;7,9;5,5;9,3;10,3;88;990,5;1005,4;0;0,1
351160424;WROCŁAW;1966;2;7;6,8;7,5;6,7;8;81,6;987,1;1002,2;0,6;2,5
351160424;WROCŁAW;1966;2;8;7,9;4,3;-3,6;4,3;90,9;990,8;1006,5;1,7;3,5
351160424;WROCŁAW;1966;2;9;8;3,6;-6,8;3,3;90,3;986,8;1002,6;2,3;0,1
351160424;WROCŁAW;1966;2;10;7,4;5,9;-8,3;2,8;86,4;990,9;1007;0,1;3,2
351160424;WROCŁAW;1966;2;11;7,4;2,5;-2,6;4,7;92,4;983,9;999,4;0;0,3
351160424;WROCŁAW;1966;2;12;8;2,5;-5,5;3,9;96,8;988,8;1004,7;7,2;2
351160424;WROCŁAW;1966;2;13;7,8;1,6;-0,7;5,8;97,8;983,6;999;0;0
351160424;WROCŁAW;1966;2;14;7,6;3,4;0,9;6,1;93,5;987,8;1003,1;0;0,5
351160424;WROCŁAW;1966;2;15;6,8;4;-1,8;4,8;89,1;1000,6;1016,2;0;0
351160424;WROCŁAW;1966;2;16;7,8;1,5;-2,2;4,5;86;996,9;1012,5;0;0
351160424;WROCŁAW;1966;2;17;8;1,6;-0,5;5,3;90,5;993,8;1009,4;0;2,2
